Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-157.949,-28.644,1,0.845728,11,1.64841,0.93397,0.886497
A1,-152.882,-44.645,0,0.820252,18,2.45225,1.80473,1.6536
A1,-152.205,-49.911,1,0.851997,21,2.17626,0.947873,0.95571
A1,-151.904,-48.577,0,0.866504,11,1.49641,0.882425,0.90185
A1,-149.947,-43.310,1,0.852203,17,2.17934,1.24969,1.25504
A1,-146.635,-43.759,1,0.855185,9,1.94135,1.01113,1.03651
A1,-148.153,-45.984,1,0.851421,12,1.4079,0.971426,0.984895
A1,-160.106,-39.969,1,0.865346,10,2.43624,1.74365,1.49546
A1,-152.746,-44.358,1,0.853244,15,2.67781,1.75964,1.68746
A1,-151.013,-38.725,1,0.853672,8,1.68105,1.44927,1.48457
A1,-146.401,-24.985,1,0.870029,12,2.42673,2.14718,1.43745
A1,-151.477,-36.306,1,0.828466,16,1.80258,1.47647,0.991613
A1,-156.911,-43.876,1,0.843337,14,1.52524,0.947107,0.933582
A1,-153.879,-48.713,1,0.822292,16,1.30564,1.00331,1.03639
A1,-157.687,-48.411,1,0.844265,12,1.92055,1.03295,1.0533
A1,-150.259,-37.652,0,0.882255,15,2.74081,1.41656,1.09897
A1,-150.708,-41.551,1,0.86234,14,2.33288,1.09228,1.06209
A1,-126.322,-27.222,1,0.84834,14,4.28587,3.73165,3.47415
A1,-154.068,-38.633,1,0.88019,13,2.12587,1.57056,1.42258
A1,-154.235,-27.581,1,0.838027,13,2.06193,1.94351,1.8207
A1,-154.276,-40.950,1,0.808727,14,3.46539,1.92359,1.71733
A1,-159.197,-50.656,1,0.882544,19,1.69197,0.993012,0.962574
A1,-150.564,-44.275,1,0.852144,10,1.8441,1.12706,1.14135
A1,-161.726,-48.066,1,0.851818,11,1.99621,0.914181,0.907835
A1,-160.269,-37.765,0,0.857802,12,1.58656,1.5554,1.51393
A1,-156.996,-25.393,1,0.817227,33,2.45379,1.28453,1.31743
A1,-152.184,-43.713,1,0.880636,13,2.44413,0.785646,0.770614
A1,-162.347,-37.909,1,0.848256,14,2.11854,1.75094,1.6614
A1,-154.398,-36.389,1,0.826326,14,1.86963,0.988116,1.01084
A1,-150.808,-48.236,1,0.867983,18,1.22315,1.59973,1.444
A1,-152.754,-39.289,1,0.853884,13,1.72169,0.771859,0.74032
A1,-156.695,-42.993,0,0.835581,17,2.72293,1.67431,1.32641
A1,-147.760,-42.182,0,0.843053,13,1.82099,1.3959,1.25397
A1,-153.225,-44.139,1,0.855732,11,2.53934,1.69898,1.68829
A1,-142.340,-42.014,1,0.851088,9,1.53074,1.3804,1.24493
A1,-158.742,-38.285,1,0.857262,15,2.99188,2.21957,1.87416
A1,-153.087,-39.382,1,0.826614,17,4.42664,2.09563,1.80825
A1,-148.076,-42.351,1,0.845885,7,1.4886,1.13121,1.16624
A1,-164.819,-49.385,1,0.838033,11,2.21655,1.09812,1.11014
A1,-143.888,-49.590,1,0.842294,11,1.6952,1.08248,1.08626
A1,-160.837,-46.970,1,0.882304,16,1.08945,1.43635,1.34154
A1,-152.702,-36.189,1,0.844157,7,1.48855,1.02812,0.833229
A1,-148.157,-44.659,1,0.85766,12,2.50308,0.809534,0.823936
A1,-157.614,-36.644,1,0.840288,13,2.12363,1.93152,1.92592
A1,-153.334,-41.315,1,0.850751,11,1.53905,1.62581,1.55767
A1,-148.625,11.759,1,0.82017,14,2.01855,1.79611,1.43984
A1,-138.582,-31.614,1,0.852497,15,6.24301,2.77598,2.74281
A1,-156.663,-43.982,1,0.838227,15,1.96126,1.3239,1.1978
A1,-161.467,-43.036,1,0.856026,10,2.10697,1.23434,1.25656
A1,-161.133,-46.034,1,0.859972,17,2.16643,1.72283,1.54734
A1,-153.661,-31.333,1,0.870705,9,1.67661,1.31637,1.18341
A1,-158.025,-34.289,1,0.856013,11,1.46514,1.03686,1.00111
A1,-161.601,-42.590,1,0.831721,10,2.093,1.77118,1.40382
A1,-154.781,-9.946,1,0.823145,19,2.11821,1.79159,1.27476
A1,-156.392,-30.489,1,0.843527,11,2.35333,1.65386,1.6486
A1,-157.870,-40.184,1,0.846663,12,2.16619,1.71668,1.65248
A1,-163.028,-39.127,1,0.887546,15,2.21726,1.58549,1.13124
A1,-157.302,-43.408,1,0.84147,20,2.1093,1.98715,1.97301
A1,-153.564,-41.622,1,0.861575,7,1.50599,0.961308,0.9136
A1,-147.214,-39.895,1,0.827011,19,3.46373,2.38384,2.34266
A1,-159.987,-42.252,1,0.82709,9,1.93061,1.30507,1.29647
A1,-150.643,-43.443,0,0.834106,15,2.22522,1.13475,1.16478
A1,-160.363,-47.642,0,0.838168,8,2.19886,1.06135,1.09698
A1,-156.902,-49.224,0,0.829785,13,2.13649,0.78883,0.755844
A1,-159.143,-45.662,0,0.841048,17,1.84515,0.851358,0.858106
A1,-144.097,-42.453,1,0.84586,17,2.57701,1.76197,1.63518
A1,-140.251,-36.660,1,0.860251,11,2.96357,2.52004,2.50062
A1,-159.208,-43.586,1,0.871385,14,2.41443,1.38585,1.30635
A1,-154.881,-37.019,1,0.857465,11,1.62757,1.51709,1.25573
A1,-163.225,-41.413,0,0.882103,16,1.65874,2.23966,2.21434
A1,-151.066,-39.448,1,0.81761,5,2.46008,1.74792,1.63782
A1,-157.984,-35.454,1,0.848813,8,2.51328,1.79543,1.81841
A1,-149.144,-35.492,1,0.849269,12,2.58657,0.975435,0.952834
A1,-154.847,-50.268,1,0.865777,15,1.51584,0.896473,0.922282
A1,-149.904,-39.602,1,0.805186,10,1.89167,1.58176,1.52374
A1,-157.022,-46.089,1,0.878236,14,1.51443,0.993373,1.02678
A1,-148.932,-42.373,1,0.851924,11,1.86432,0.734057,0.68052
A1,-153.389,-44.161,1,0.873663,10,1.4077,1.38098,1.42447
A1,-147.188,-46.163,0,0.84666,32,2.18998,1.0694,1.02481
A1,-161.282,-41.620,1,0.84781,14,3.44551,1.00996,1.04124
A1,-156.503,-47.145,0,0.904026,16,1.93295,0.757841,0.767059
A1,-159.383,-38.025,1,0.876118,10,2.40597,2.05699,2.03652
A1,-154.752,-46.341,1,0.883824,15,2.67621,1.49138,1.31031
A1,-157.630,-45.096,1,0.878987,8,1.42467,1.18405,1.20325
A1,-162.513,-50.939,1,0.853055,15,2.21163,1.06159,1.08892
A1,-145.871,-48.965,1,0.855737,17,1.5337,0.731234,0.72071
A1,-152.173,-0.855,1,0.865272,18,1.89026,0.838356,0.851474
A1,-154.803,-48.930,1,0.832906,16,1.18369,0.839599,0.817693
A1,-130.863,-37.527,1,0.842881,10,3.55391,2.01902,2.10044
A1,-149.883,-37.486,1,0.874109,9,2.43866,1.86307,1.87771
