Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-15.455,16.184,1,1.43973,51,11.1992,11.166,10.2866
A1,20.507,23.459,1,1.58681,64,10.7833,9.66513,8.4626
A1,-10.359,40.936,1,1.79641,38,7.45237,7.17035,3.79956
A1,-2.298,16.456,2,1.62696,88,11.3561,10.802,9.79264
A1,-43.152,11.520,2,1.49171,42,12.4466,12.2383,12.4047
A1,-30.658,-18.716,2,1.66827,61,7.9355,5.12244,4.57363
A1,-46.485,-14.517,1,1.70103,95,9.26508,9.90749,9.1554
A1,-108.685,-27.157,2,1.64705,71,5.09661,4.6327,3.09206
A1,32.830,53.212,2,1.43222,69,11.7211,10.5981,8.4024
A1,-79.586,-16.024,2,1.68205,26,4.39839,4.68256,4.07637
A1,-43.499,5.908,2,1.64159,29,14.2379,14.2037,12.354
A1,-15.473,9.595,2,1.75465,63,10.1403,8.38106,5.44167
A1,-69.907,3.324,1,1.49668,41,5.72618,4.43883,3.09786
A1,-65.891,-34.573,2,1.75553,47,3.61014,3.92451,2.97167
A1,24.229,-2.341,2,1.64566,99,10.5341,10.4596,10.0295
A1,-45.611,28.115,2,1.68696,48,12.5331,12.5608,11.3459
A1,-115.218,-13.331,2,1.4585,24,5.89634,5.49362,4.13205
A1,-10.236,-23.408,2,1.67034,81,9.61116,8.72331,6.21271
A1,-11.676,-10.287,2,1.73,48,8.97681,6.37761,5.63911
A1,-12.167,-12.357,1,1.75782,78,9.59046,9.49012,7.94499
A1,-38.484,3.779,2,1.55281,52,9.74563,9.66873,9.37722
A1,-72.861,-15.070,2,1.7199,39,4.88461,5.13626,3.92053
A1,-98.562,19.627,1,1.63655,29,5.28206,6.12769,4.48935
A1,22.673,26.845,2,1.64985,128,7.10657,7.62027,6.15808
A1,-88.617,-29.205,1,1.50477,28,5.25186,4.52978,3.053
A1,72.161,15.269,1,1.59141,59,10.6803,7.69378,7.84178
A1,-44.545,6.780,1,1.68314,43,11.3177,12.615,12.7715
A1,-34.297,-8.835,2,1.72449,63,11.6309,12.7016,12.5819
A1,-34.326,-1.044,2,1.45324,100,11.9065,12.6334,12.254
A1,-37.620,-26.529,2,1.62047,56,6.88135,4.97349,3.69292
A1,-74.169,1.014,1,1.7358,79,4.52229,3.7747,3.10037
A1,-19.053,8.278,1,1.67033,33,11.708,12.1892,12.3636
A1,-100.296,-14.275,1,1.53166,32,13.2261,13.3063,13.1895
A1,-53.152,-8.019,2,1.82268,59,12.7123,12.3172,12.2945
A1,63.290,96.506,1,1.53543,57,10.2096,8.949,8.07577
A1,16.255,-4.367,1,1.64499,36,8.25682,8.22298,6.68709
A1,-12.790,-19.492,2,1.5306,47,7.84491,7.3448,4.61827
A1,-92.664,-22.058,1,1.73768,54,4.71418,3.84733,3.12279
A1,-40.203,-20.484,2,1.65751,49,8.04711,6.32191,4.63294
A1,-82.216,-18.023,2,1.65563,112,10.8474,10.1532,8.86524
A1,31.709,3.009,1,1.44406,37,12.0953,12.954,12.7144
A1,-114.736,1.495,2,1.67475,48,6.84596,6.79902,4.76002
A1,-58.231,-22.302,1,1.49807,44,5.81502,5.61095,4.09779
A1,-69.609,-13.295,2,1.65676,30,5.88971,5.44461,4.53965
A1,-95.971,-34.251,2,1.53774,47,4.38359,3.64093,2.87647
A1,-72.485,-26.008,1,1.6851,42,7.24974,6.87818,4.24783
A1,-50.451,45.954,2,1.6582,43,13.0571,13.0142,12.2458
A1,-67.600,-29.638,1,1.76031,35,8.22385,7.44748,5.30441
A1,-94.036,-27.043,1,1.46648,48,5.93757,4.54631,3.42442
A1,-92.915,-24.239,2,1.75227,72,4.56116,4.60995,3.31127
A1,-41.583,-29.403,1,1.61255,49,6.17417,5.76978,4.46157
A1,-25.856,9.334,2,1.70789,52,11.5726,11.3121,11.0216
A1,-43.889,2.673,2,1.49149,58,12.7362,12.5946,12.437
A1,-48.889,-27.241,2,1.7389,53,7.56551,7.57368,5.08349
A1,-30.970,53.007,2,1.65311,35,7.07317,7.11058,6.48022
A1,18.755,26.221,1,1.57834,46,9.29114,8.67543,8.56838
A1,-21.826,-16.806,1,1.43005,70,9.4538,8.62184,6.07688
A1,-38.634,-3.614,1,1.72433,52,8.32492,7.83603,6.12024
A1,-56.784,15.293,1,1.61462,63,9.55175,9.26553,8.98053
A1,-75.174,-2.373,2,1.68699,21,8.25198,7.53637,6.18
A1,-80.020,-17.747,1,1.42227,42,4.85761,4.62382,3.0969
A1,-68.930,-24.752,2,1.76302,60,9.5389,9.25856,7.46484
A1,13.435,20.890,2,1.59138,98,9.61923,9.18444,8.40837
A1,-72.542,-27.557,2,1.76204,31,4.0532,4.52796,3.52666
A1,-91.814,-4.318,2,1.4356,18,6.12806,5.85275,3.9163
A1,-49.618,9.371,1,1.73668,121,10.8275,11.3462,10.5346
A1,19.626,6.211,1,1.56876,62,11.6545,11.4678,10.8434
A1,-62.967,-20.767,2,1.8002,41,8.62902,7.72517,4.94666
A1,-46.757,29.440,1,1.49015,32,12.8049,12.1072,10.6123
A1,11.086,-0.348,2,1.73423,28,12.9976,12.7852,10.5658
A1,-90.631,-2.998,1,1.5957,26,7.96205,7.99773,5.3522
A1,-18.425,-7.133,2,1.67756,28,8.51084,7.33805,6.03677
A1,74.883,20.106,1,1.38754,62,10.2795,8.75177,8.78633
A1,38.064,14.563,2,1.64047,55,11.1747,10.137,9.60893
A1,-67.555,-35.027,1,1.56381,62,8.88807,7.32503,5.46627
A1,43.203,3.247,2,1.66342,59,12.6466,10.6705,9.58451
A1,-45.386,18.341,1,1.45126,35,11.3732,11.4492,11.6031
A1,-22.219,-8.097,2,1.63714,83,9.27352,7.54173,6.21932
A1,-30.175,12.292,2,1.72532,63,9.72759,10.1001,8.8098
A1,-86.922,-14.454,2,1.71071,36,8.42447,7.96239,7.12215
A1,19.293,6.549,1,1.54438,40,10.102,8.40344,7.12411
A1,47.263,15.881,2,1.49187,45,10.56,9.56883,8.95263
A1,3.001,-10.703,1,1.60897,64,13.9876,13.3436,13.891
A1,-47.415,1.636,1,1.65005,80,10.0227,10.2707,9.36314
A1,-4.626,-9.883,1,1.56537,133,13.0978,11.7041,10.5629
A1,-48.274,-0.178,1,1.64385,66,10.7434,10.5083,10.1148
A1,-71.422,-21.946,1,1.61848,29,6.87889,6.04323,4.15831
A1,-85.391,-3.298,1,1.63553,26,6.32929,5.32202,4.13109
A1,10.068,8.918,1,1.42832,51,8.58945,8.4031,5.60098
A1,-16.509,34.778,2,1.65268,105,9.43403,8.57518,8.18113
A1,-14.539,-16.269,1,1.5347,27,6.81316,5.69854,3.85987
A1,-69.960,-9.685,2,1.6745,39,6.82171,6.65507,5.23538
A1,-13.776,11.834,2,1.47439,65,10.7016,11.2908,10.1174
A1,-72.651,18.093,1,1.6651,48,7.57892,6.06446,4.18126
A1,-31.959,6.385,2,1.6176,52,12.4237,12.2657,12.6272
A1,-5.963,14.930,1,1.49857,66,11.5095,10.8971,9.97183
A1,9.089,-3.998,2,1.62695,60,7.12865,6.49301,4.84105
A1,-42.637,16.241,2,1.60166,86,10.2091,8.57825,6.87181
A1,-23.797,-15.624,2,1.61261,63,7.41646,4.95791,3.78098
A1,-55.019,-13.355,2,1.47903,35,7.73709,7.43403,6.52413
A1,-32.078,-7.312,2,1.63847,26,7.06932,7.01423,6.74209
A1,-73.053,-12.365,2,1.62506,19,6.95982,6.31935,5.82718
A1,-65.356,20.745,1,1.68283,81,13.595,13.3227,13.1537
A1,28.704,13.462,1,1.33193,35,13.9428,12.5502,13.1578
A1,-43.683,-23.139,2,1.68646,52,7.11271,6.96987,5.12212
A1,-75.119,3.086,2,1.6156,39,7.0481,6.99073,5.37457
A1,-32.660,15.304,1,1.71231,49,10.6476,11.7421,11.3459
A1,-13.922,-14.913,1,1.49472,44,9.35861,7.82569,7.04799
A1,-9.115,6.624,2,1.6024,87,9.124,9.16144,6.79151
A1,-43.930,8.282,2,1.63814,41,13.6754,13.6964,13.1197
A1,-51.708,-23.842,2,1.7078,38,7.18587,6.95771,5.09551
A1,-58.227,-18.914,2,1.48262,71,7.25612,6.92629,5.64512
A1,-61.509,-11.302,1,1.59332,29,8.54799,7.53753,7.17322
A1,-57.278,-22.059,2,1.61258,31,8.61931,8.0631,5.98978
A1,-99.961,-36.717,2,1.6712,33,6.05847,5.82438,3.95113
A1,3.128,7.122,1,1.64233,27,6.45755,6.44655,5.2101
A1,-9.924,-21.950,1,1.67108,70,9.9485,9.48752,7.09793
A1,-74.791,-14.180,1,1.66491,38,4.77386,5.09624,3.99417
A1,-74.958,-8.931,1,1.71102,39,4.96449,4.69443,2.82429
A1,-104.653,12.018,1,1.52008,54,7.3996,7.41058,5.89082
A1,-78.430,-20.862,2,1.79322,76,6.76369,5.66859,4.43122
A1,-52.169,2.864,2,1.67064,94,10.3352,10.1903,9.99297
A1,22.015,-10.824,1,1.64361,48,10.1704,10.2665,8.83089
A1,50.144,64.331,2,1.44464,41,10.3377,8.67198,8.05067
A1,-82.378,-25.558,1,1.70089,73,12.2603,12.6571,11.2949
A1,-27.076,5.847,2,1.67355,74,10.9392,9.67384,9.15863
A1,-55.881,43.765,2,1.75365,76,8.84838,8.90881,8.81721
A1,-68.643,-18.901,2,1.58406,20,9.0366,7.96321,5.62221
A1,-116.843,-16.541,2,1.7165,59,4.25074,4.9378,3.9268
A1,-80.122,-25.780,1,1.49994,37,10.0571,10.2403,9.15126
A1,61.725,-12.130,2,1.63705,80,8.84872,8.95885,8.09506
A1,-47.453,1.675,1,1.44088,40,6.44962,4.14085,3.75265
A1,5.737,-1.569,2,1.73716,80,13.0074,12.7398,9.15676
A1,-93.810,-28.718,1,1.71135,37,4.70767,4.05548,2.61686
A1,3.648,51.092,1,1.59954,37,12.2231,10.891,9.23079
A1,-32.075,-12.792,2,1.48565,42,9.06593,8.12682,7.85195
A1,-92.306,-19.433,2,1.67972,34,7.37719,7.78703,5.26652
A1,19.807,-14.675,2,1.63392,73,11.9343,12.0708,11.9345
A1,-38.276,4.018,1,1.65088,27,13.7079,13.0617,12.6682
A1,-11.898,16.712,1,1.43704,36,9.88332,10.0993,9.64532
A1,-45.243,-14.241,2,1.74368,45,6.00876,5.89677,4.17426
A1,23.861,19.671,2,1.58493,56,10.8823,9.59823,8.66034
A1,-12.919,-22.466,2,1.62277,43,4.44463,3.3895,2.54775
A1,-36.331,-38.458,1,1.47006,54,6.28534,5.634,3.47756
A1,-86.459,-23.140,2,1.6277,21,5.18117,5.0346,4.04473
A1,-12.772,42.624,1,1.63692,27,11.0731,9.84636,9.59165
A1,-3.566,-23.023,2,1.7403,39,7.3728,7.30626,3.96165
A1,-27.115,-14.970,1,1.50413,38,6.75797,7.6309,6.94855
A1,-14.907,6.979,1,1.68405,46,7.32674,7.12693,5.55169
A1,-63.294,121.360,1,1.63472,103,13.533,12.7793,11.1814
A1,-36.730,-5.409,1,1.70715,58,10.4915,11.1418,9.7735
A1,-17.454,-9.974,1,1.52377,53,8.76838,8.57878,7.18592
A1,-53.061,6.700,2,1.68483,46,10.7697,12.6414,12.6616
A1,-16.976,-6.542,2,1.68589,43,14.048,12.9671,12.0014
A1,-63.902,-30.354,2,1.68946,74,7.82417,7.03,4.11757
A1,-71.533,-23.854,2,1.48927,18,7.30867,6.9395,5.05297
A1,41.237,3.233,2,1.59754,85,11.0457,7.05318,5.50753
A1,-5.277,3.945,2,1.6552,51,13.1547,12.2351,12.3175
A1,-53.379,-24.547,2,1.75409,29,6.98859,5.78104,4.69383
A1,-23.935,-23.891,2,1.4797,43,5.973,4.13821,2.86185
A1,-74.502,-35.012,2,1.78371,77,7.07868,6.7448,5.26069
A1,25.327,5.541,2,1.63689,42,7.60032,6.75864,5.81412
A1,-44.760,-13.515,2,1.67697,39,12.4379,12.1017,11.2513
A1,-102.250,-15.275,1,1.47124,29,7.08371,6.91638,4.5704
A1,-106.112,-11.724,2,1.70172,34,4.40583,3.98246,2.70531
A1,-43.618,-16.468,2,1.65005,65,8.86586,8.57746,7.12649
A1,27.619,26.830,1,1.61763,38,9.81353,9.46106,8.21191
A1,-46.965,-14.474,2,1.50735,28,5.98989,4.81798,3.24285
A1,-91.975,-20.377,2,1.69858,47,6.29388,6.67003,4.20792
A1,-37.292,32.324,2,1.63559,59,6.98569,5.86167,4.24577
A1,-99.337,2.840,2,1.68771,43,6.86636,6.76002,5.50766
A1,39.205,-13.554,1,1.49104,67,8.37091,7.1982,5.51684
A1,-71.415,-31.981,2,1.67368,43,6.11433,6.12344,4.3951
A1,19.798,66.879,2,1.37106,44,12.6155,12.2395,11.5627
A1,118.078,99.026,2,1.63639,69,10.9992,9.65477,7.73724
A1,-25.014,-21.453,2,1.48471,32,9.23609,7.95315,6.69493
A1,-103.974,-17.001,2,1.75677,41,5.231,4.89787,2.97607
A1,-58.348,29.734,2,1.63057,30,9.65905,7.69484,6.87486
A1,-46.511,95.887,2,1.679,114,11.6544,10.77,10.3562
A1,15.794,14.683,2,1.51584,37,10.7524,9.94173,6.02695
A1,-93.224,13.633,1,1.67486,44,5.20717,4.84445,3.79156
A1,-88.975,-30.275,1,1.69743,56,7.23695,7.54837,6.05718
A1,2.194,-9.798,2,1.73795,77,11.6981,10.5394,10.0811
A1,9.413,-16.718,2,1.51563,89,13.4264,12.1536,11.2539
A1,32.755,-21.993,2,1.60703,77,12.7001,13.6632,13.2502
