Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,834.979,-31.052,18,18.1828,303,16.5196,15.7401,15.4518
A1,1330.280,-70.841,13,13.6194,375,13.386,5.81033,5.19765
A1,1224.224,-48.962,20,19.1824,342,16.228,16.4594,16.5801
A1,1174.187,53.159,14,14.6248,316,19.2906,13.8558,13.6699
A1,1674.999,-34.981,17,16.9443,271,18.5911,17.4378,16.8696
A1,1166.191,-19.912,20,20.3803,340,17.3979,13.3704,13.0631
A1,539.203,407.053,17,16.8223,320,16.5853,16.922,17.0965
A1,717.375,-45.115,17,16.6987,178,16.3313,14.0483,14.2713
A1,923.030,-38.035,18,18.0426,316,13.2122,11.2452,11.2346
A1,1358.069,278.261,17,17.5453,251,15.7787,16.996,16.3892
A1,541.389,-0.079,18,18.1548,124,20.7588,19.388,18.2821
A1,861.852,-48.257,16,15.7211,291,16.2663,16.585,16.6397
A1,1296.084,-59.582,17,17.0811,176,12.9639,10.0043,10.2586
A1,1378.304,-62.967,19,19.1647,362,13.7255,12.8014,12.6385
A1,2405.862,-0.838,18,18.5527,343,12.6783,8.14853,7.70285
A1,855.035,-53.365,17,16.9577,222,11.5214,11.5992,10.964
A1,559.713,-68.944,16,15.49,380,10.3766,4.81914,4.42594
A1,690.238,-43.213,18,18.3827,170,16.4061,10.2445,9.33946
A1,732.141,-64.365,14,14.2974,252,20.5655,19.5233,18.794
A1,863.262,-25.529,14,14.4996,331,17.3459,13.9595,14.1305
A1,1070.786,-66.063,18,18.031,177,11.0733,8.91222,8.32804
A1,1466.117,49.923,17,16.5427,379,16.7151,14.4418,13.7973
A1,1589.904,194.972,17,16.6289,287,17.3513,16.8095,16.4581
A1,1149.422,-19.723,19,18.2905,211,15.9149,13.0075,13.2378
A1,1005.810,-54.753,22,21.7263,359,15.9476,18.762,18.1274
A1,823.224,152.169,17,16.81,312,18.2363,14.5716,15.1641
A1,544.124,-19.061,20,19.3286,323,11.9304,9.65829,9.80653
A1,688.935,-55.179,18,18.0878,225,19.2116,18.134,18.0556
