Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-208.483,-58.916,2,2.76311,208,13.7673,15.0983,12.2992
A1,-226.508,-38.026,2,2.8307,123,20.3785,19.9859,14.7152
A1,-157.279,-52.080,3,2.88484,235,17.3198,16.5915,13.9096
A1,-252.830,-77.529,3,2.65241,205,24.1752,22.6899,15.7035
A1,-226.242,-37.845,2,2.78018,85,28.5325,27.9683,19.8081
A1,-209.947,-56.894,3,2.7949,215,21.0023,21.1029,14.9556
A1,-202.360,-65.278,3,2.64402,202,28.2553,27.4314,20.4131
A1,-230.708,-41.879,2,2.74566,153,20.1546,19.8561,12.9382
A1,-236.617,-81.347,3,2.93695,118,20.8535,20.6921,15.1339
A1,-247.959,-49.142,2,2.7316,109,22.9362,22.5507,16.3583
A1,-260.577,-61.537,3,2.75472,112,19.3566,18.3182,13.834
A1,-199.690,-45.356,3,2.80749,196,25.0686,24.5508,17.1834
A1,-165.152,-35.511,3,2.78933,243,17.2884,16.6763,12.8324
A1,-222.462,-19.625,3,2.66024,268,19.0489,18.208,12.9508
A1,-215.553,-23.979,3,2.76333,199,23.5319,22.4137,15.4283
A1,-193.733,-69.485,3,2.74739,254,24.3524,22.8466,17.3856
A1,-192.615,-50.833,2,2.62241,197,22.0296,22.034,15.3053
A1,-261.778,-55.362,3,2.88545,98,22.132,21.9183,17.5249
A1,-199.999,6.854,2,2.6651,259,25.0481,24.9501,17.3111
A1,-164.974,-55.199,3,2.80869,208,19.8805,19.7885,16.4771
A1,-204.908,-56.726,3,2.95481,233,20.17,18.6596,14.7549
A1,-164.970,-21.251,3,2.67398,186,23.5965,23.298,16.2088
A1,-193.152,-47.202,2,2.73957,278,20.3085,20.8108,14.6611
A1,-155.236,-34.369,3,2.90677,200,22.1751,21.8505,17.0099
A1,-235.841,-21.070,3,2.69686,203,25.6185,26.074,19.1088
A1,-152.753,-42.528,3,2.73757,189,21.2797,18.0513,12.3145
A1,-185.835,-47.445,3,2.77533,171,18.0173,15.4415,12.0456
A1,-171.786,-50.399,3,2.76272,172,14.336,14.3313,12.4088
A1,-152.690,-3.893,2,2.6558,188,21.8291,20.7724,16.132
