Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-189.615,-50.555,1,1.19149,46,4.97114,4.99011,4.63684
A1,-208.789,-60.462,1,1.23853,37,5.00102,4.85022,4.16085
A1,-184.858,-57.818,1,1.2726,75,5.92725,5.24665,4.38716
A1,-203.512,4.774,1,1.21576,36,6.87892,6.69221,5.83118
A1,-185.648,-66.402,1,1.21784,69,6.95372,5.35565,5.1796
A1,-194.319,-67.117,1,1.22825,82,6.60481,4.72079,3.84364
A1,-186.926,-76.330,1,1.23303,73,5.67867,5.09322,4.9157
A1,-89.724,-43.591,1,1.24226,60,11.7712,9.49237,9.1851
A1,-223.409,-71.448,2,1.18792,37,6.55519,6.04229,5.0404
A1,-124.969,-51.057,1,1.17681,60,10.5824,8.1989,8.14505
A1,-200.503,-67.884,1,1.23139,34,5.78753,5.53427,5.39347
A1,-178.910,-48.690,1,1.21809,31,8.12382,5.83831,5.15701
A1,-204.164,-48.379,1,1.26046,28,7.64856,7.33896,7.36863
A1,-147.891,-56.404,1,1.26344,36,6.96671,4.75443,3.91219
A1,-216.427,-63.479,1,1.24745,42,5.25869,5.24238,4.76522
A1,-147.019,-42.140,1,1.23575,23,10.5192,10.0174,9.39686
A1,-196.068,-74.158,1,1.21651,36,7.65829,7.55866,7.02482
A1,-123.938,-36.283,1,1.21058,35,6.07839,5.70531,4.49423
A1,-103.280,-5.384,1,1.20191,75,12.4917,12.0647,11.5874
A1,-105.954,-27.173,2,1.26945,54,10.9683,11.8369,10.6411
A1,-201.241,-85.412,1,1.21945,54,6.86341,4.95997,4.70218
A1,-212.961,-71.188,1,1.19946,51,5.17035,5.08378,4.70775
A1,-191.108,-73.972,1,1.23872,42,6.81128,6.81315,6.81231
A1,-231.278,-70.625,1,1.20607,26,6.94038,6.40246,5.97528
A1,-193.483,-55.087,1,1.21715,34,7.98188,6.90867,6.35397
A1,-209.419,-60.386,1,1.21664,35,5.33468,5.11358,5.15553
A1,-208.744,-80.165,1,1.20804,82,6.52254,5.19116,4.87976
A1,-195.351,-53.297,1,1.18486,19,6.7331,6.32983,5.93161
A1,-177.932,-61.573,1,1.19054,44,9.66006,8.44667,7.86456
A1,-200.594,-55.826,1,1.1912,34,5.34644,5.10777,4.52356
A1,-199.395,30.428,2,1.2159,36,4.99835,4.74469,4.46142
A1,-175.948,-59.656,1,1.22253,83,8.42642,7.0993,7.02091
A1,-193.692,-68.023,1,1.21739,58,7.40072,6.02934,5.93422
A1,-208.539,-63.904,1,1.24491,29,6.01844,5.3399,5.34373
A1,-211.885,-57.505,1,1.24626,22,6.63421,6.25148,6.00038
A1,-206.284,-58.718,1,1.21894,53,5.44595,5.79717,5.39466
A1,-206.546,-76.774,1,1.15907,24,5.62851,5.30285,5.13445
A1,-215.473,-63.766,1,1.21602,26,6.30396,5.73468,5.20102
A1,-222.596,-82.588,1,1.20244,42,6.46189,5.25083,5.07115
A1,-214.081,-33.685,1,1.23837,41,8.00041,5.18043,4.87679
A1,-189.164,-51.138,1,1.19912,55,5.17384,4.79926,4.25331
A1,-197.931,-69.538,2,1.25027,43,4.82521,4.72887,4.18978
A1,-163.735,-33.327,1,1.19949,45,9.3877,7.79751,7.36704
A1,-156.702,-46.542,1,1.20568,25,7.23396,7.10844,7.32511
A1,-203.771,-79.784,1,1.2224,50,6.31873,5.40924,5.2296
A1,-194.326,-52.215,2,1.20824,64,9.01878,8.02333,7.63694
A1,-189.068,-66.232,1,1.1749,45,9.8928,8.66715,8.35374
A1,-195.457,-70.075,1,1.19931,42,6.59737,6.41806,6.21341
A1,-197.328,-47.582,1,1.25129,27,6.07338,6.66371,6.34034
A1,-167.539,-58.665,1,1.23576,37,6.42147,6.43153,6.41831
A1,-150.200,-69.870,1,1.21581,44,9.78866,6.36419,6.46705
A1,-195.557,-55.517,1,1.18803,39,9.73514,6.29245,5.05736
A1,-190.328,-73.837,1,1.20565,74,6.08251,4.10736,3.43996
A1,-179.103,-64.079,1,1.20823,54,9.95195,10.0254,9.04149
A1,-175.888,-50.614,1,1.21105,37,5.54144,4.90126,4.53166
A1,-164.031,-43.912,1,1.23214,24,6.13373,5.81717,4.48611
A1,-208.988,-66.551,1,1.22076,40,6.09945,6.31889,5.93713
A1,-165.541,-4.935,2,1.21728,53,5.51968,4.60592,3.77217
A1,-194.735,-62.192,1,1.21895,47,6.6611,5.84582,5.51395
A1,-216.589,-80.588,2,1.2334,33,5.17236,5.66014,5.41901
A1,-203.800,-84.721,1,1.1984,32,6.11133,5.2712,5.18334
A1,-209.907,-65.673,1,1.20527,34,11.2991,10.6431,10.7244
A1,-164.805,-77.267,2,1.20855,63,5.99979,5.35598,4.76484
