Worker size,Energy (FA),Energy (MZ),Time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,17.197,11.671,1,51,11.7121,9.77876,9.33399
A1,-75.608,-21.812,2,49,11.486,11.9009,11.4463
A1,18.093,35.652,2,99,12.8013,11.7742,11.1308
A1,-29.476,-10.331,2,20,8.18113,7.21535,4.91632
A1,14.909,158.376,1,32,11.6776,10.8502,10.195
A1,-76.053,54.578,2,51,6.71043,6.08102,4.72179
A1,-66.868,-21.146,2,45,8.4134,8.00141,5.83688
A1,37.865,191.217,2,46,8.09834,7.51537,5.88616
A1,-30.654,2.805,2,32,10.5462,10.1724,9.38987
A1,-38.930,-4.471,2,31,8.25547,7.81259,7.57574
A1,-4.753,-8.899,3,37,8.16159,7.53705,6.61889
A1,-60.140,-7.782,2,45,10.0655,10.6756,10.1193
A1,5.511,-19.617,1,44,12.7622,13.1835,11.6906
A1,3.306,13.246,2,47,9.99734,9.92969,9.19449
A1,47.271,-0.535,2,67,8.13847,6.54247,4.14775
A1,-32.559,13.576,1,97,10.4662,9.41402,7.14479
A1,-60.375,-22.335,1,37,5.18231,4.76293,4.16302
A1,0.924,-13.053,2,55,8.51973,7.2855,6.70701
A1,83.418,-18.470,2,92,11.1859,9.07417,9.02121
A1,-47.652,-13.306,2,21,8.30928,7.52338,6.65362
A1,-29.979,10.876,2,71,11.7287,11.1452,10.7551
A1,-2.429,-11.146,2,82,9.45961,9.54365,8.97985
A1,-39.353,51.319,2,48,5.28387,4.25202,3.41242
A1,-60.687,-4.695,1,33,12.8707,11.9248,10.3734
A1,-22.782,-12.015,2,34,6.76586,4.6158,3.40068
A1,-51.714,-3.512,2,35,10.389,11.2988,10.8242
A1,-26.842,2.311,2,34,14.169,13.5856,13.3586
A1,-71.096,86.567,1,53,6.87733,6.5894,5.17745
A1,-67.050,-9.662,2,68,8.22467,7.55612,5.49405
A1,-66.531,-23.722,1,72,8.99954,8.1913,5.80129
A1,-81.643,-17.122,2,19,5.39431,5.33934,3.90947
A1,-28.374,-0.111,1,43,12.5327,12.1171,11.252
A1,-35.804,2.780,2,38,11.7262,12.3734,12.0348
A1,-44.527,3.742,1,31,12.0701,11.7504,11.2914
A1,-94.273,-15.883,2,44,5.135,5.18025,4.34828
A1,-18.452,-7.737,1,69,13.2369,13.1656,11.5797
A1,80.259,68.305,2,63,10.4967,8.40274,7.61676
A1,-65.764,-25.175,1,28,4.41022,4.48486,3.35591
A1,32.498,171.673,2,82,8.55444,8.70723,5.78116
A1,23.900,-21.355,1,31,10.5332,7.58064,6.99208
A1,-25.204,-22.333,2,64,8.37639,8.62525,7.86808
A1,5.509,160.778,2,49,7.97474,6.15367,3.64646
A1,-23.193,4.411,2,25,11.1572,11.4467,10.8872
A1,-105.566,-1.030,1,29,3.9927,3.85677,2.74924
A1,-0.812,-8.781,2,39,7.22084,6.79674,6.24738
A1,2.875,21.023,2,51,11.4841,11.0972,10.2361
A1,-71.792,-15.919,3,55,7.91688,7.56062,5.65886
A1,52.587,-9.007,1,86,9.46367,9.16783,7.04577
A1,6.147,1.455,1,67,13.6515,13.2509,12.581
A1,-79.741,71.162,2,54,10.7566,10.6754,10.233
A1,-54.382,-6.396,2,28,7.57502,6.7071,5.8261
A1,-86.368,-22.677,2,60,7.68746,7.62929,6.38779
A1,-94.968,-24.551,1,70,6.00923,5.62314,4.32673
A1,-44.439,9.123,1,46,11.1712,10.4163,10.1304
A1,-70.917,14.726,2,68,5.0323,4.53511,3.5581
A1,-126.379,-35.776,2,47,4.34146,3.56038,2.81197
A1,24.283,36.496,2,59,9.87471,8.59645,5.5858
A1,-70.116,-23.358,2,58,7.04637,6.45925,5.33378
A1,-3.069,-15.860,2,38,9.11128,7.46718,6.07951
A1,2.410,26.712,1,57,11.4467,9.954,9.75688
A1,-72.407,-36.203,1,37,7.3985,7.9124,5.91088
A1,-82.206,-15.137,2,28,5.50142,4.73383,2.54007
A1,42.243,9.117,2,55,9.38162,7.74657,5.44732
A1,-49.427,3.727,1,31,12.2605,12.4242,11.3725
A1,-98.792,-34.519,2,28,7.94618,7.95795,5.27974
A1,9.951,385.642,2,44,7.88856,8.26313,6.50567
A1,20.356,-17.025,2,70,11.6689,9.67665,8.0389
A1,3.046,-1.455,2,56,12.0191,12.556,12.6724
A1,21.334,-2.583,1,73,10.4468,9.8439,9.59491
A1,5.630,-18.179,1,45,8.90689,7.63157,6.46299
A1,-15.522,12.351,2,61,9.96379,9.17727,8.6629
A1,-59.990,-31.777,1,48,8.80164,6.70956,5.16236
A1,-50.910,-16.538,2,64,10.2625,8.56121,6.51776
A1,-8.989,20.710,1,55,11.6265,10.2473,9.53423
A1,6.160,-14.511,2,104,6.11544,4.25431,3.61165
A1,3.955,-9.566,1,74,10.2231,8.83712,6.97147
A1,14.771,-5.944,1,57,8.67224,9.41178,9.34093
A1,-36.522,19.632,2,81,8.88767,8.83029,7.06781
A1,-34.297,-4.526,2,46,10.0952,9.50391,8.69635
A1,-87.588,-18.525,2,20,6.16411,5.33175,3.05854
A1,-78.024,-22.662,1,38,7.59511,7.07088,5.1951
A1,-73.030,-26.661,2,32,5.34458,4.86366,2.83279
A1,-70.542,-16.500,2,56,7.45708,7.24544,5.07817
A1,-109.045,5.687,2,10,4.48507,4.1847,2.48302
A1,-12.568,-6.317,1,73,11.952,13.4211,12.0326
A1,-38.148,-15.632,2,79,13.0678,13.6235,13.3202
A1,-58.581,59.981,2,42,11.1236,11.2757,9.7768
A1,-94.005,-16.000,2,84,5.88857,6.18644,4.4901
A1,-36.319,-25.205,2,53,8.92853,7.93591,6.15307
A1,-75.926,45.088,1,60,8.08857,8.23537,6.16768
A1,-43.296,-12.930,2,48,11.5561,11.8017,10.4646
A1,32.260,-2.580,1,79,8.54548,8.5749,5.92139
A1,-46.010,-2.667,2,55,8.224,8.33878,6.4839
A1,-72.521,-2.128,2,51,12.5194,12.8925,9.94324
A1,32.997,-13.032,2,63,9.98392,8.59162,8.09477
A1,-63.911,-1.229,2,24,5.37488,6.00691,4.2974
A1,-50.457,19.928,2,48,13.0844,13.7288,13.5283
A1,-74.819,-2.937,2,26,6.11523,5.60831,4.19011
A1,-74.285,-20.661,2,56,7.30071,7.64795,5.54142
A1,-15.763,-4.585,2,50,12.7419,12.1984,11.4272
A1,-14.108,15.035,1,39,10.7619,10.2158,9.84671
A1,-56.436,-2.234,1,40,7.01469,5.4263,3.69778
A1,-33.706,15.085,2,55,13.1228,13.0557,13.3937
A1,9.592,11.289,1,43,7.69919,7.08503,4.72576
A1,-99.364,9.853,2,55,6.58197,6.76388,5.85411
A1,-34.941,-11.003,2,28,10.7357,10.8319,8.31919
A1,-31.494,-20.972,2,50,10.2881,8.74031,7.54406
A1,13.966,47.908,1,61,9.71655,8.63663,6.62704
A1,-58.994,8.665,2,73,12.5636,13.2554,12.9737
A1,-52.569,47.057,2,9,9.02388,8.30923,7.46041
A1,-38.515,13.901,2,70,9.24812,8.47275,6.67137
A1,28.236,8.798,1,42,9.8724,9.56099,6.57448
A1,-45.286,-18.035,1,60,8.21164,7.70436,5.20007
A1,-90.959,-26.480,1,34,5.55146,5.1748,3.97652
A1,-57.469,1.566,2,43,5.77929,3.93348,2.36549
A1,-113.170,-34.420,2,35,3.98995,3.76158,2.9478
A1,-59.083,1.884,1,42,12.3074,12.6529,11.6782
A1,-55.690,6.168,1,53,7.32101,6.68044,4.46654
A1,-8.019,19.854,2,68,9.07616,9.23492,9.12333
A1,-51.895,-6.707,2,40,4.75857,4.78048,3.9044
A1,-91.478,-20.409,2,28,5.4834,5.86787,3.43824
A1,-29.510,-19.338,2,23,10.2763,9.911,9.2262
A1,-91.836,-9.016,2,30,5.51167,5.65324,3.39485
A1,-12.526,108.913,2,45,11.1932,10.5486,9.18137
A1,-39.721,-23.821,2,113,13.8322,12.4027,10.941
A1,-52.103,-8.850,2,96,12.3307,12.0981,10.8801
A1,24.868,17.476,2,71,10.326,9.95644,9.73243
A1,-44.017,11.767,2,33,8.37056,7.55618,5.49389
A1,-24.342,3.170,1,46,12.4736,11.6499,10.4746
A1,-103.828,-13.222,1,36,6.93759,6.9723,5.04434
A1,-36.778,-6.933,1,42,14.2403,13.4402,12.2365
A1,-32.368,520.571,1,75,12.9166,12.9166,12.6939
A1,-79.459,8.444,2,34,7.89854,7.21347,5.36742
A1,8.192,75.667,1,77,8.57082,8.98918,8.89436
A1,-81.703,-18.464,2,39,5.6245,5.49388,3.7728
A1,-20.687,0.792,1,54,11.5959,10.6412,10.4029
A1,-41.108,-27.226,2,26,7.95069,7.14669,4.13333
